city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,296,871,"1,909,378","1,528,452","63,028","806,180"
목포시,23,64,"245,232","186,514","6,662","99,292"
여수시,27,113,"292,566","230,240","8,205","112,812"
순천시,24,79,"273,559","208,656","8,035","102,526"
나주시,19,39,"88,054","73,994","3,138","40,688"
광양시,12,47,"150,977","112,785","4,342","57,086"
담양군,12,27,"47,413","40,578","1,566","21,174"
장성군,11,21,"46,365","38,670","1,568","21,020"
곡성군,11,15,"30,888","26,300","1,163","14,171"
구례군,8,19,"27,127","22,917","1,032","12,069"
고흥군,16,45,"71,583","62,010","2,495","34,701"
보성군,12,32,"47,198","40,059","1,748","22,337"
화순군,13,35,"68,430","54,614","1,904","29,340"
장흥군,10,20,"41,859","35,117","1,829","19,913"
강진군,11,20,"40,104","33,223","1,583","18,292"
완도군,12,30,"53,840","45,087","2,361","25,098"
해남군,14,44,"78,208","65,000","2,997","35,411"
진도군,7,36,"33,197","27,904","1,206","15,661"
영암군,11,29,"59,975","48,268","1,907","27,398"
무안군,9,42,"75,829","60,187","3,185","32,176"
영광군,11,41,"57,147","47,092","2,405","25,616"
함평군,9,23,"35,853","30,634","1,280","17,445"
신안군,14,50,"43,974","38,603","2,417","21,954"
