city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,331,952,"2,698,208","2,181,817","83,303","1,123,232"
포항시북구,15,74,"267,475","211,681","8,170","102,524"
포항시남구,14,79,"251,878","200,588","7,215","100,052"
울릉군,3,7,"10,812","9,465","1,045","5,449"
경주시,23,71,"264,520","214,412","7,267","109,701"
김천시,21,48,"135,268","110,693","4,802","55,729"
안동시,24,73,"168,237","136,465","5,875","69,337"
구미시,27,92,"416,679","312,758","9,783","162,494"
영주시,19,47,"113,067","92,386","3,631","47,468"
영천시,16,40,"101,928","86,076","2,948","45,271"
상주시,24,57,"104,365","87,758","4,029","45,171"
문경시,14,28,"75,721","63,363","3,654","33,119"
예천군,12,23,"46,115","39,956","2,082","21,394"
경산시,15,74,"245,899","195,724","5,126","98,047"
청도군,9,27,"44,046","38,740","2,806","20,568"
고령군,8,21,"35,339","30,071","1,312","15,946"
성주군,10,18,"45,063","39,096","1,514","20,292"
칠곡군,8,35,"119,697","93,195","2,461","50,501"
군위군,8,18,"24,130","21,665","1,106","11,653"
의성군,18,25,"57,079","51,083","1,809","27,399"
청송군,8,19,"26,468","23,323",941,"12,858"
영양군,6,10,"18,170","15,886",669,"8,709"
영덕군,9,22,"40,353","35,142","1,920","19,893"
봉화군,10,23,"34,005","29,435","1,236","15,856"
울진군,10,21,"51,894","42,856","1,902","23,801"
