city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,423,"2,225","10,243,466","8,379,979","169,813","4,250,056"
종로구,17,42,"167,401","140,801","2,689","77,950"
중구,15,45,"134,631","114,684","1,986","62,888"
용산구,16,59,"245,999","205,885","3,678","113,914"
성동구,17,65,"300,826","249,150","4,651","127,827"
광진구,15,84,"372,581","307,160","5,924","160,598"
동대문구,14,88,"365,043","304,717","5,693","159,570"
중랑구,16,85,"420,520","347,986","6,853","175,249"
성북구,20,98,"483,794","396,030","7,809","201,060"
강북구,13,81,"344,190","285,761","5,126","143,413"
도봉구,14,79,"363,460","296,189","6,469","139,759"
노원구,19,119,"599,878","473,272","12,033","226,140"
은평구,16,99,"502,987","408,889","8,328","202,868"
서대문구,14,77,"314,714","260,980","5,259","136,985"
마포구,16,93,"387,037","318,865","5,859","170,004"
양천구,18,107,"497,708","389,881","8,987","184,451"
강서구,20,119,"569,228","463,071","9,581","226,900"
구로구,15,94,"428,716","350,023","6,629","173,352"
금천구,10,57,"243,680","202,629","3,852","104,973"
영등포구,18,97,"393,496","326,745","6,059","170,478"
동작구,15,88,"406,142","337,612","6,874","171,871"
관악구,21,102,"524,897","446,396","8,124","250,054"
서초구,18,99,"439,523","351,769","6,920","175,707"
강남구,22,116,"569,453","460,452","9,874","239,109"
송파구,26,136,"678,077","544,503","11,772","264,694"
강동구,18,96,"489,485","396,529","8,784","190,242"
