city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,205,709,"2,027,478","1,601,006","44,314","841,708"
천안시서북구,11,75,"323,755","242,291","5,706","128,918"
천안시동남구,17,76,"257,638","199,022","4,465","103,951"
공주시,16,51,"117,492","96,069","2,793","48,845"
보령시,16,51,"105,683","86,100","3,006","45,240"
아산시,17,84,"279,940","212,311","4,604","114,302"
서산시,15,52,"162,918","126,371","4,103","65,174"
태안군,8,27,"62,692","52,869","1,678","28,388"
금산군,10,28,"55,695","46,549","1,103","24,572"
논산시,15,48,"126,811","103,735","3,213","54,857"
계룡시,4,11,"41,720","29,918","1,759","14,150"
당진시,14,48,"154,631","122,405","3,253","66,202"
부여군,16,38,"73,254","61,726","2,028","32,054"
서천군,13,28,"58,995","50,183","1,597","26,590"
홍성군,11,35,"88,081","71,959","2,028","37,318"
청양군,10,22,"32,179","27,553",857,"14,413"
예산군,12,35,"85,994","71,945","2,121","36,734"
