city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,318,876,"3,319,184","2,603,355","87,085","1,302,011"
창원시의창구,8,55,"255,524","199,735","6,607","96,387"
창원시성산구,7,53,"247,172","186,446","7,005","85,885"
창원시마산합포구,19,51,"185,898","152,786","4,641","74,448"
창원시마산회원구,13,54,"221,799","175,921","5,009","83,694"
창원시진해구,15,35,"182,314","138,378","7,093","69,183"
진주시,37,76,"337,492","263,903","8,644","130,340"
통영시,15,49,"139,588","110,526","3,573","57,292"
고성군,14,23,"56,943","47,864","1,651","25,662"
사천시,14,35,"115,243","92,025","2,914","48,435"
김해시,17,96,"512,996","381,868","10,111","185,228"
밀양시,16,39,"108,945","91,111","3,209","47,457"
거제시,19,58,"236,445","176,403","4,531","90,638"
의령군,13,16,"29,383","25,391","1,093","14,171"
함안군,10,22,"67,468","54,655","1,640","28,976"
창녕군,14,20,"62,873","53,678","1,756","29,213"
양산시,13,70,"270,054","207,345","5,913","102,052"
하동군,13,22,"50,927","43,381","3,478","22,935"
남해군,10,22,"48,433","41,942","1,750","22,573"
함양군,11,18,"40,752","34,159","1,539","18,938"
산청군,11,16,"35,689","30,813","1,010","17,344"
거창군,12,21,"63,171","51,459","1,962","27,209"
합천군,17,25,"50,075","43,566","1,956","23,951"
