city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,544,"2,816","12,087,104","9,358,357","214,193","4,668,857"
수원시장안구,10,62,"292,365","225,618","5,368","110,837"
수원시권선구,11,68,"332,969","258,666","5,989","127,552"
수원시팔달구,10,45,"207,298","167,654","3,465","87,623"
수원시영통구,8,53,"283,474","208,223","5,366","103,029"
성남시수정구,16,57,"234,318","193,487","3,843","103,262"
성남시중원구,11,57,"253,042","206,346","4,136","103,771"
성남시분당구,21,106,"493,134","380,925","9,214","182,962"
의정부시,15,93,"429,571","337,689","7,141","167,139"
안양시만안구,14,56,"254,486","206,514","4,554","99,338"
안양시동안구,17,75,"358,250","276,606","6,734","127,556"
부천시원미구,20,81,"447,096","354,681","8,400","169,158"
부천시소사구,9,48,"231,075","185,877","3,984","88,306"
부천시오정구,7,40,"192,303","151,660","3,318","73,099"
광명시,18,83,"355,980","277,908","5,767","132,365"
평택시,22,111,"434,262","333,588","8,414","173,232"
양주시,11,51,"200,644","154,308","3,942","77,948"
동두천시,8,30,"97,269","77,027","1,771","40,887"
안산시상록구,13,70,"381,607","292,310","6,652","150,394"
안산시단원구,12,70,"333,874","256,167","5,757","132,001"
고양시덕양구,19,91,"395,049","310,140","7,270","155,479"
고양시일산동구,11,54,"282,485","219,712","5,513","110,034"
고양시일산서구,9,61,"292,135","220,215","5,483","104,574"
과천시,6,22,"71,551","55,548","1,404","26,268"
의왕시,6,35,"152,287","119,560","2,699","56,310"
구리시,8,48,"192,572","150,060","3,492","74,000"
남양주시,16,117,"595,738","453,985","9,567","223,265"
오산시,6,43,"199,374","147,948","2,784","77,759"
화성시,23,112,"525,619","385,055","7,655","197,138"
시흥시,15,78,"399,856","301,637","6,525","157,447"
군포시,11,62,"287,480","222,683","5,204","105,948"
하남시,10,37,"146,833","118,423","2,493","58,274"
파주시,18,112,"392,735","301,967","6,955","160,823"
여주군,10,40,"109,654","87,773","2,267","45,149"
이천시,14,56,"205,438","157,433","4,008","79,523"
용인시처인구,11,57,"211,409","164,495","3,637","82,260"
용인시수지구,9,65,"330,038","244,533","5,079","116,201"
용인시기흥구,11,82,"375,861","277,185","5,553","137,783"
안성시,15,61,"181,917","142,200","3,274","73,267"
김포시,11,76,"284,521","218,403","4,856","109,792"
광주시,10,65,"275,005","214,760","4,432","107,479"
포천시,14,62,"157,792","126,289","3,393","66,688"
연천군,10,35,"45,669","37,777","1,485","20,311"
양평군,12,54,"102,150","84,712","2,641","45,623"
가평군,6,35,"60,919","50,610","2,709","27,003"
